task_id,ground_truth_outcome,risk_tier,resolver_type,success_criteria,ground_truth_source
EV_0281,escalate,low,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0282,request_more_info,low,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0283,deny,medium,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0284,escalate,medium,human,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0285,approve,low,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0286,escalate,low,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0287,deny,medium,human,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0288,request_more_info,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0289,approve,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0290,approve,medium,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0291,escalate,low,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0292,deny,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0293,request_more_info,high,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0294,request_more_info,low,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0295,deny,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0296,deny,medium,tool,Outcome satisfies legal_intake policy and domain checks,ai_simulated_human_roleplay
EV_0297,approve,low,tool,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0298,approve,low,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0299,request_more_info,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0300,deny,critical,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0301,request_more_info,medium,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0302,deny,low,human,Outcome satisfies incident_triage policy and domain checks,ai_simulated_human_roleplay
EV_0303,approve,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0304,approve,medium,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0305,approve,low,human,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0306,deny,medium,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0307,deny,high,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0308,request_more_info,low,tool,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0309,escalate,medium,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0310,approve,high,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0311,approve,low,human,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0312,deny,high,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
EV_0313,approve,low,tool,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0314,request_more_info,medium,human,Outcome satisfies sales_ops policy and domain checks,ai_simulated_human_roleplay
EV_0315,approve,low,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0316,request_more_info,high,tool,Outcome satisfies clinical_admin policy and domain checks,ai_simulated_human_roleplay
EV_0317,escalate,high,human,Outcome satisfies code_review policy and domain checks,ai_simulated_human_roleplay
EV_0318,deny,medium,tool,Outcome satisfies supply_chain policy and domain checks,ai_simulated_human_roleplay
EV_0319,request_more_info,high,human,Outcome satisfies fraud_screening policy and domain checks,ai_simulated_human_roleplay
EV_0320,deny,low,tool,Outcome satisfies billing_support policy and domain checks,ai_simulated_human_roleplay
