task_id,workflow,domain,risk_tier,scenario,input_context,user_request,artifact_ref,blinded_eval
EV_0182,sales_ops,spatial,low,sales_ops workflow case 182,Operator receives mixed-signal evidence packet #182,Resolve case 182 under policy constraints and provide final action,ART-00182,true
EV_0183,supply_chain,spatial,high,supply_chain workflow case 183,Operator receives mixed-signal evidence packet #183,Resolve case 183 under policy constraints and provide final action,ART-00183,true
EV_0184,billing_support,arithmetic,low,billing_support workflow case 184,Operator receives mixed-signal evidence packet #184,Resolve case 184 under policy constraints and provide final action,ART-00184,true
EV_0185,clinical_admin,procedural,high,clinical_admin workflow case 185,Operator receives mixed-signal evidence packet #185,Resolve case 185 under policy constraints and provide final action,ART-00185,true
EV_0186,supply_chain,spatial,medium,supply_chain workflow case 186,Operator receives mixed-signal evidence packet #186,Resolve case 186 under policy constraints and provide final action,ART-00186,true
EV_0187,clinical_admin,arithmetic,low,clinical_admin workflow case 187,Operator receives mixed-signal evidence packet #187,Resolve case 187 under policy constraints and provide final action,ART-00187,true
EV_0188,legal_intake,procedural,medium,legal_intake workflow case 188,Operator receives mixed-signal evidence packet #188,Resolve case 188 under policy constraints and provide final action,ART-00188,true
EV_0189,billing_support,procedural,medium,billing_support workflow case 189,Operator receives mixed-signal evidence packet #189,Resolve case 189 under policy constraints and provide final action,ART-00189,true
EV_0190,legal_intake,spatial,critical,legal_intake workflow case 190,Operator receives mixed-signal evidence packet #190,Resolve case 190 under policy constraints and provide final action,ART-00190,true
EV_0191,clinical_admin,spatial,medium,clinical_admin workflow case 191,Operator receives mixed-signal evidence packet #191,Resolve case 191 under policy constraints and provide final action,ART-00191,true
EV_0192,code_review,arithmetic,medium,code_review workflow case 192,Operator receives mixed-signal evidence packet #192,Resolve case 192 under policy constraints and provide final action,ART-00192,true
EV_0193,code_review,logical,low,code_review workflow case 193,Operator receives mixed-signal evidence packet #193,Resolve case 193 under policy constraints and provide final action,ART-00193,true
EV_0194,legal_intake,logical,high,legal_intake workflow case 194,Operator receives mixed-signal evidence packet #194,Resolve case 194 under policy constraints and provide final action,ART-00194,true
EV_0195,billing_support,social,high,billing_support workflow case 195,Operator receives mixed-signal evidence packet #195,Resolve case 195 under policy constraints and provide final action,ART-00195,true
EV_0196,fraud_screening,social,critical,fraud_screening workflow case 196,Operator receives mixed-signal evidence packet #196,Resolve case 196 under policy constraints and provide final action,ART-00196,true
EV_0197,legal_intake,temporal,low,legal_intake workflow case 197,Operator receives mixed-signal evidence packet #197,Resolve case 197 under policy constraints and provide final action,ART-00197,true
EV_0198,legal_intake,arithmetic,low,legal_intake workflow case 198,Operator receives mixed-signal evidence packet #198,Resolve case 198 under policy constraints and provide final action,ART-00198,true
EV_0199,fraud_screening,spatial,medium,fraud_screening workflow case 199,Operator receives mixed-signal evidence packet #199,Resolve case 199 under policy constraints and provide final action,ART-00199,true
EV_0200,incident_triage,linguistic,high,incident_triage workflow case 200,Operator receives mixed-signal evidence packet #200,Resolve case 200 under policy constraints and provide final action,ART-00200,true
EV_0201,incident_triage,temporal,medium,incident_triage workflow case 201,Operator receives mixed-signal evidence packet #201,Resolve case 201 under policy constraints and provide final action,ART-00201,true
EV_0202,code_review,spatial,high,code_review workflow case 202,Operator receives mixed-signal evidence packet #202,Resolve case 202 under policy constraints and provide final action,ART-00202,true
EV_0203,sales_ops,linguistic,low,sales_ops workflow case 203,Operator receives mixed-signal evidence packet #203,Resolve case 203 under policy constraints and provide final action,ART-00203,true
EV_0204,legal_intake,arithmetic,medium,legal_intake workflow case 204,Operator receives mixed-signal evidence packet #204,Resolve case 204 under policy constraints and provide final action,ART-00204,true
EV_0205,legal_intake,social,medium,legal_intake workflow case 205,Operator receives mixed-signal evidence packet #205,Resolve case 205 under policy constraints and provide final action,ART-00205,true
EV_0206,legal_intake,procedural,high,legal_intake workflow case 206,Operator receives mixed-signal evidence packet #206,Resolve case 206 under policy constraints and provide final action,ART-00206,true
EV_0207,legal_intake,spatial,low,legal_intake workflow case 207,Operator receives mixed-signal evidence packet #207,Resolve case 207 under policy constraints and provide final action,ART-00207,true
EV_0208,supply_chain,logical,low,supply_chain workflow case 208,Operator receives mixed-signal evidence packet #208,Resolve case 208 under policy constraints and provide final action,ART-00208,true
EV_0209,supply_chain,linguistic,low,supply_chain workflow case 209,Operator receives mixed-signal evidence packet #209,Resolve case 209 under policy constraints and provide final action,ART-00209,true
EV_0210,billing_support,logical,low,billing_support workflow case 210,Operator receives mixed-signal evidence packet #210,Resolve case 210 under policy constraints and provide final action,ART-00210,true
EV_0211,billing_support,linguistic,medium,billing_support workflow case 211,Operator receives mixed-signal evidence packet #211,Resolve case 211 under policy constraints and provide final action,ART-00211,true
EV_0212,billing_support,social,critical,billing_support workflow case 212,Operator receives mixed-signal evidence packet #212,Resolve case 212 under policy constraints and provide final action,ART-00212,true
EV_0213,sales_ops,logical,high,sales_ops workflow case 213,Operator receives mixed-signal evidence packet #213,Resolve case 213 under policy constraints and provide final action,ART-00213,true
EV_0214,fraud_screening,linguistic,medium,fraud_screening workflow case 214,Operator receives mixed-signal evidence packet #214,Resolve case 214 under policy constraints and provide final action,ART-00214,true
EV_0215,clinical_admin,social,high,clinical_admin workflow case 215,Operator receives mixed-signal evidence packet #215,Resolve case 215 under policy constraints and provide final action,ART-00215,true
EV_0216,fraud_screening,factual,medium,fraud_screening workflow case 216,Operator receives mixed-signal evidence packet #216,Resolve case 216 under policy constraints and provide final action,ART-00216,true
EV_0217,incident_triage,spatial,high,incident_triage workflow case 217,Operator receives mixed-signal evidence packet #217,Resolve case 217 under policy constraints and provide final action,ART-00217,true
EV_0218,supply_chain,social,low,supply_chain workflow case 218,Operator receives mixed-signal evidence packet #218,Resolve case 218 under policy constraints and provide final action,ART-00218,true
EV_0219,legal_intake,arithmetic,critical,legal_intake workflow case 219,Operator receives mixed-signal evidence packet #219,Resolve case 219 under policy constraints and provide final action,ART-00219,true
EV_0220,incident_triage,temporal,medium,incident_triage workflow case 220,Operator receives mixed-signal evidence packet #220,Resolve case 220 under policy constraints and provide final action,ART-00220,true
EV_0221,sales_ops,arithmetic,low,sales_ops workflow case 221,Operator receives mixed-signal evidence packet #221,Resolve case 221 under policy constraints and provide final action,ART-00221,true
EV_0222,code_review,factual,low,code_review workflow case 222,Operator receives mixed-signal evidence packet #222,Resolve case 222 under policy constraints and provide final action,ART-00222,true
EV_0223,sales_ops,logical,low,sales_ops workflow case 223,Operator receives mixed-signal evidence packet #223,Resolve case 223 under policy constraints and provide final action,ART-00223,true
EV_0224,sales_ops,linguistic,high,sales_ops workflow case 224,Operator receives mixed-signal evidence packet #224,Resolve case 224 under policy constraints and provide final action,ART-00224,true
EV_0225,clinical_admin,arithmetic,medium,clinical_admin workflow case 225,Operator receives mixed-signal evidence packet #225,Resolve case 225 under policy constraints and provide final action,ART-00225,true
EV_0226,sales_ops,arithmetic,low,sales_ops workflow case 226,Operator receives mixed-signal evidence packet #226,Resolve case 226 under policy constraints and provide final action,ART-00226,true
EV_0227,billing_support,temporal,low,billing_support workflow case 227,Operator receives mixed-signal evidence packet #227,Resolve case 227 under policy constraints and provide final action,ART-00227,true
EV_0228,billing_support,spatial,high,billing_support workflow case 228,Operator receives mixed-signal evidence packet #228,Resolve case 228 under policy constraints and provide final action,ART-00228,true
EV_0229,sales_ops,social,high,sales_ops workflow case 229,Operator receives mixed-signal evidence packet #229,Resolve case 229 under policy constraints and provide final action,ART-00229,true
EV_0230,legal_intake,spatial,high,legal_intake workflow case 230,Operator receives mixed-signal evidence packet #230,Resolve case 230 under policy constraints and provide final action,ART-00230,true
EV_0231,supply_chain,logical,medium,supply_chain workflow case 231,Operator receives mixed-signal evidence packet #231,Resolve case 231 under policy constraints and provide final action,ART-00231,true
EV_0232,sales_ops,social,high,sales_ops workflow case 232,Operator receives mixed-signal evidence packet #232,Resolve case 232 under policy constraints and provide final action,ART-00232,true
EV_0233,legal_intake,linguistic,critical,legal_intake workflow case 233,Operator receives mixed-signal evidence packet #233,Resolve case 233 under policy constraints and provide final action,ART-00233,true
EV_0234,incident_triage,temporal,low,incident_triage workflow case 234,Operator receives mixed-signal evidence packet #234,Resolve case 234 under policy constraints and provide final action,ART-00234,true
EV_0235,supply_chain,procedural,critical,supply_chain workflow case 235,Operator receives mixed-signal evidence packet #235,Resolve case 235 under policy constraints and provide final action,ART-00235,true
EV_0236,supply_chain,procedural,low,supply_chain workflow case 236,Operator receives mixed-signal evidence packet #236,Resolve case 236 under policy constraints and provide final action,ART-00236,true
EV_0237,sales_ops,social,medium,sales_ops workflow case 237,Operator receives mixed-signal evidence packet #237,Resolve case 237 under policy constraints and provide final action,ART-00237,true
EV_0238,legal_intake,temporal,low,legal_intake workflow case 238,Operator receives mixed-signal evidence packet #238,Resolve case 238 under policy constraints and provide final action,ART-00238,true
EV_0239,supply_chain,social,low,supply_chain workflow case 239,Operator receives mixed-signal evidence packet #239,Resolve case 239 under policy constraints and provide final action,ART-00239,true
EV_0240,code_review,procedural,low,code_review workflow case 240,Operator receives mixed-signal evidence packet #240,Resolve case 240 under policy constraints and provide final action,ART-00240,true
EV_0241,incident_triage,arithmetic,critical,incident_triage workflow case 241,Operator receives mixed-signal evidence packet #241,Resolve case 241 under policy constraints and provide final action,ART-00241,true
EV_0242,legal_intake,factual,low,legal_intake workflow case 242,Operator receives mixed-signal evidence packet #242,Resolve case 242 under policy constraints and provide final action,ART-00242,true
EV_0243,billing_support,spatial,medium,billing_support workflow case 243,Operator receives mixed-signal evidence packet #243,Resolve case 243 under policy constraints and provide final action,ART-00243,true
EV_0244,incident_triage,logical,medium,incident_triage workflow case 244,Operator receives mixed-signal evidence packet #244,Resolve case 244 under policy constraints and provide final action,ART-00244,true
EV_0245,billing_support,social,critical,billing_support workflow case 245,Operator receives mixed-signal evidence packet #245,Resolve case 245 under policy constraints and provide final action,ART-00245,true
EV_0246,billing_support,linguistic,low,billing_support workflow case 246,Operator receives mixed-signal evidence packet #246,Resolve case 246 under policy constraints and provide final action,ART-00246,true
EV_0247,billing_support,spatial,low,billing_support workflow case 247,Operator receives mixed-signal evidence packet #247,Resolve case 247 under policy constraints and provide final action,ART-00247,true
EV_0248,billing_support,logical,medium,billing_support workflow case 248,Operator receives mixed-signal evidence packet #248,Resolve case 248 under policy constraints and provide final action,ART-00248,true
EV_0249,clinical_admin,temporal,critical,clinical_admin workflow case 249,Operator receives mixed-signal evidence packet #249,Resolve case 249 under policy constraints and provide final action,ART-00249,true
EV_0250,billing_support,spatial,low,billing_support workflow case 250,Operator receives mixed-signal evidence packet #250,Resolve case 250 under policy constraints and provide final action,ART-00250,true
EV_0251,billing_support,procedural,high,billing_support workflow case 251,Operator receives mixed-signal evidence packet #251,Resolve case 251 under policy constraints and provide final action,ART-00251,true
EV_0252,incident_triage,procedural,medium,incident_triage workflow case 252,Operator receives mixed-signal evidence packet #252,Resolve case 252 under policy constraints and provide final action,ART-00252,true
EV_0253,code_review,linguistic,medium,code_review workflow case 253,Operator receives mixed-signal evidence packet #253,Resolve case 253 under policy constraints and provide final action,ART-00253,true
EV_0254,clinical_admin,factual,high,clinical_admin workflow case 254,Operator receives mixed-signal evidence packet #254,Resolve case 254 under policy constraints and provide final action,ART-00254,true
EV_0255,supply_chain,logical,low,supply_chain workflow case 255,Operator receives mixed-signal evidence packet #255,Resolve case 255 under policy constraints and provide final action,ART-00255,true
EV_0256,fraud_screening,factual,medium,fraud_screening workflow case 256,Operator receives mixed-signal evidence packet #256,Resolve case 256 under policy constraints and provide final action,ART-00256,true
EV_0257,clinical_admin,social,low,clinical_admin workflow case 257,Operator receives mixed-signal evidence packet #257,Resolve case 257 under policy constraints and provide final action,ART-00257,true
EV_0258,clinical_admin,social,low,clinical_admin workflow case 258,Operator receives mixed-signal evidence packet #258,Resolve case 258 under policy constraints and provide final action,ART-00258,true
EV_0259,code_review,social,medium,code_review workflow case 259,Operator receives mixed-signal evidence packet #259,Resolve case 259 under policy constraints and provide final action,ART-00259,true
EV_0260,sales_ops,social,medium,sales_ops workflow case 260,Operator receives mixed-signal evidence packet #260,Resolve case 260 under policy constraints and provide final action,ART-00260,true
EV_0261,incident_triage,linguistic,medium,incident_triage workflow case 261,Operator receives mixed-signal evidence packet #261,Resolve case 261 under policy constraints and provide final action,ART-00261,true
EV_0262,code_review,factual,high,code_review workflow case 262,Operator receives mixed-signal evidence packet #262,Resolve case 262 under policy constraints and provide final action,ART-00262,true
EV_0263,fraud_screening,arithmetic,high,fraud_screening workflow case 263,Operator receives mixed-signal evidence packet #263,Resolve case 263 under policy constraints and provide final action,ART-00263,true
EV_0264,code_review,spatial,medium,code_review workflow case 264,Operator receives mixed-signal evidence packet #264,Resolve case 264 under policy constraints and provide final action,ART-00264,true
EV_0265,code_review,logical,critical,code_review workflow case 265,Operator receives mixed-signal evidence packet #265,Resolve case 265 under policy constraints and provide final action,ART-00265,true
EV_0266,code_review,factual,medium,code_review workflow case 266,Operator receives mixed-signal evidence packet #266,Resolve case 266 under policy constraints and provide final action,ART-00266,true
EV_0267,clinical_admin,spatial,critical,clinical_admin workflow case 267,Operator receives mixed-signal evidence packet #267,Resolve case 267 under policy constraints and provide final action,ART-00267,true
EV_0268,supply_chain,temporal,medium,supply_chain workflow case 268,Operator receives mixed-signal evidence packet #268,Resolve case 268 under policy constraints and provide final action,ART-00268,true
EV_0269,legal_intake,logical,medium,legal_intake workflow case 269,Operator receives mixed-signal evidence packet #269,Resolve case 269 under policy constraints and provide final action,ART-00269,true
EV_0270,supply_chain,arithmetic,low,supply_chain workflow case 270,Operator receives mixed-signal evidence packet #270,Resolve case 270 under policy constraints and provide final action,ART-00270,true
EV_0271,fraud_screening,factual,low,fraud_screening workflow case 271,Operator receives mixed-signal evidence packet #271,Resolve case 271 under policy constraints and provide final action,ART-00271,true
EV_0272,billing_support,logical,medium,billing_support workflow case 272,Operator receives mixed-signal evidence packet #272,Resolve case 272 under policy constraints and provide final action,ART-00272,true
EV_0273,clinical_admin,procedural,critical,clinical_admin workflow case 273,Operator receives mixed-signal evidence packet #273,Resolve case 273 under policy constraints and provide final action,ART-00273,true
EV_0274,legal_intake,spatial,low,legal_intake workflow case 274,Operator receives mixed-signal evidence packet #274,Resolve case 274 under policy constraints and provide final action,ART-00274,true
EV_0275,legal_intake,spatial,medium,legal_intake workflow case 275,Operator receives mixed-signal evidence packet #275,Resolve case 275 under policy constraints and provide final action,ART-00275,true
EV_0276,legal_intake,social,high,legal_intake workflow case 276,Operator receives mixed-signal evidence packet #276,Resolve case 276 under policy constraints and provide final action,ART-00276,true
EV_0277,billing_support,linguistic,high,billing_support workflow case 277,Operator receives mixed-signal evidence packet #277,Resolve case 277 under policy constraints and provide final action,ART-00277,true
EV_0278,supply_chain,linguistic,medium,supply_chain workflow case 278,Operator receives mixed-signal evidence packet #278,Resolve case 278 under policy constraints and provide final action,ART-00278,true
EV_0279,sales_ops,spatial,low,sales_ops workflow case 279,Operator receives mixed-signal evidence packet #279,Resolve case 279 under policy constraints and provide final action,ART-00279,true
EV_0280,legal_intake,procedural,medium,legal_intake workflow case 280,Operator receives mixed-signal evidence packet #280,Resolve case 280 under policy constraints and provide final action,ART-00280,true
EV_0281,fraud_screening,logical,low,fraud_screening workflow case 281,Operator receives mixed-signal evidence packet #281,Resolve case 281 under policy constraints and provide final action,ART-00281,true
EV_0282,fraud_screening,linguistic,low,fraud_screening workflow case 282,Operator receives mixed-signal evidence packet #282,Resolve case 282 under policy constraints and provide final action,ART-00282,true
EV_0283,billing_support,social,medium,billing_support workflow case 283,Operator receives mixed-signal evidence packet #283,Resolve case 283 under policy constraints and provide final action,ART-00283,true
EV_0284,legal_intake,social,medium,legal_intake workflow case 284,Operator receives mixed-signal evidence packet #284,Resolve case 284 under policy constraints and provide final action,ART-00284,true
EV_0285,code_review,linguistic,low,code_review workflow case 285,Operator receives mixed-signal evidence packet #285,Resolve case 285 under policy constraints and provide final action,ART-00285,true
EV_0286,clinical_admin,linguistic,low,clinical_admin workflow case 286,Operator receives mixed-signal evidence packet #286,Resolve case 286 under policy constraints and provide final action,ART-00286,true
EV_0287,supply_chain,social,medium,supply_chain workflow case 287,Operator receives mixed-signal evidence packet #287,Resolve case 287 under policy constraints and provide final action,ART-00287,true
EV_0288,code_review,procedural,high,code_review workflow case 288,Operator receives mixed-signal evidence packet #288,Resolve case 288 under policy constraints and provide final action,ART-00288,true
EV_0289,clinical_admin,factual,low,clinical_admin workflow case 289,Operator receives mixed-signal evidence packet #289,Resolve case 289 under policy constraints and provide final action,ART-00289,true
EV_0290,billing_support,social,medium,billing_support workflow case 290,Operator receives mixed-signal evidence packet #290,Resolve case 290 under policy constraints and provide final action,ART-00290,true
EV_0291,clinical_admin,procedural,low,clinical_admin workflow case 291,Operator receives mixed-signal evidence packet #291,Resolve case 291 under policy constraints and provide final action,ART-00291,true
EV_0292,clinical_admin,factual,low,clinical_admin workflow case 292,Operator receives mixed-signal evidence packet #292,Resolve case 292 under policy constraints and provide final action,ART-00292,true
EV_0293,code_review,procedural,high,code_review workflow case 293,Operator receives mixed-signal evidence packet #293,Resolve case 293 under policy constraints and provide final action,ART-00293,true
EV_0294,incident_triage,factual,low,incident_triage workflow case 294,Operator receives mixed-signal evidence packet #294,Resolve case 294 under policy constraints and provide final action,ART-00294,true
EV_0295,clinical_admin,factual,high,clinical_admin workflow case 295,Operator receives mixed-signal evidence packet #295,Resolve case 295 under policy constraints and provide final action,ART-00295,true
EV_0296,legal_intake,procedural,medium,legal_intake workflow case 296,Operator receives mixed-signal evidence packet #296,Resolve case 296 under policy constraints and provide final action,ART-00296,true
EV_0297,incident_triage,arithmetic,low,incident_triage workflow case 297,Operator receives mixed-signal evidence packet #297,Resolve case 297 under policy constraints and provide final action,ART-00297,true
EV_0298,fraud_screening,logical,low,fraud_screening workflow case 298,Operator receives mixed-signal evidence packet #298,Resolve case 298 under policy constraints and provide final action,ART-00298,true
EV_0299,supply_chain,social,medium,supply_chain workflow case 299,Operator receives mixed-signal evidence packet #299,Resolve case 299 under policy constraints and provide final action,ART-00299,true
EV_0300,billing_support,linguistic,critical,billing_support workflow case 300,Operator receives mixed-signal evidence packet #300,Resolve case 300 under policy constraints and provide final action,ART-00300,true
EV_0301,fraud_screening,logical,medium,fraud_screening workflow case 301,Operator receives mixed-signal evidence packet #301,Resolve case 301 under policy constraints and provide final action,ART-00301,true
EV_0302,incident_triage,temporal,low,incident_triage workflow case 302,Operator receives mixed-signal evidence packet #302,Resolve case 302 under policy constraints and provide final action,ART-00302,true
EV_0303,clinical_admin,spatial,high,clinical_admin workflow case 303,Operator receives mixed-signal evidence packet #303,Resolve case 303 under policy constraints and provide final action,ART-00303,true
EV_0304,fraud_screening,logical,medium,fraud_screening workflow case 304,Operator receives mixed-signal evidence packet #304,Resolve case 304 under policy constraints and provide final action,ART-00304,true
EV_0305,billing_support,factual,low,billing_support workflow case 305,Operator receives mixed-signal evidence packet #305,Resolve case 305 under policy constraints and provide final action,ART-00305,true
EV_0306,clinical_admin,social,medium,clinical_admin workflow case 306,Operator receives mixed-signal evidence packet #306,Resolve case 306 under policy constraints and provide final action,ART-00306,true
EV_0307,code_review,spatial,high,code_review workflow case 307,Operator receives mixed-signal evidence packet #307,Resolve case 307 under policy constraints and provide final action,ART-00307,true
EV_0308,fraud_screening,spatial,low,fraud_screening workflow case 308,Operator receives mixed-signal evidence packet #308,Resolve case 308 under policy constraints and provide final action,ART-00308,true
EV_0309,clinical_admin,procedural,medium,clinical_admin workflow case 309,Operator receives mixed-signal evidence packet #309,Resolve case 309 under policy constraints and provide final action,ART-00309,true
EV_0310,supply_chain,temporal,high,supply_chain workflow case 310,Operator receives mixed-signal evidence packet #310,Resolve case 310 under policy constraints and provide final action,ART-00310,true
EV_0311,clinical_admin,factual,low,clinical_admin workflow case 311,Operator receives mixed-signal evidence packet #311,Resolve case 311 under policy constraints and provide final action,ART-00311,true
EV_0312,billing_support,logical,high,billing_support workflow case 312,Operator receives mixed-signal evidence packet #312,Resolve case 312 under policy constraints and provide final action,ART-00312,true
EV_0313,code_review,arithmetic,low,code_review workflow case 313,Operator receives mixed-signal evidence packet #313,Resolve case 313 under policy constraints and provide final action,ART-00313,true
EV_0314,sales_ops,spatial,medium,sales_ops workflow case 314,Operator receives mixed-signal evidence packet #314,Resolve case 314 under policy constraints and provide final action,ART-00314,true
EV_0315,fraud_screening,logical,low,fraud_screening workflow case 315,Operator receives mixed-signal evidence packet #315,Resolve case 315 under policy constraints and provide final action,ART-00315,true
EV_0316,clinical_admin,temporal,high,clinical_admin workflow case 316,Operator receives mixed-signal evidence packet #316,Resolve case 316 under policy constraints and provide final action,ART-00316,true
EV_0317,code_review,factual,high,code_review workflow case 317,Operator receives mixed-signal evidence packet #317,Resolve case 317 under policy constraints and provide final action,ART-00317,true
EV_0318,supply_chain,linguistic,medium,supply_chain workflow case 318,Operator receives mixed-signal evidence packet #318,Resolve case 318 under policy constraints and provide final action,ART-00318,true
EV_0319,fraud_screening,social,high,fraud_screening workflow case 319,Operator receives mixed-signal evidence packet #319,Resolve case 319 under policy constraints and provide final action,ART-00319,true
EV_0320,billing_support,linguistic,low,billing_support workflow case 320,Operator receives mixed-signal evidence packet #320,Resolve case 320 under policy constraints and provide final action,ART-00320,true
