item_id,task_id,domain_a,domain_b,correct_answer_a,correct_answer_b,answer_type_a,answer_type_b
HB_EXP9_0270,fixed_soc_pro_027_02,social,procedural,deferred judgment or withhold criticism,no,short_text,boolean
HB_EXP9_0271,fixed_pro_soc_aug_000,procedural,social,no,C,boolean,multiple_choice
HB_EXP9_0272,fixed_soc_pro_027_08,social,procedural,C,no,multiple_choice,boolean
HB_EXP9_0273,fixed_soc_pro_027_03,social,procedural,C,no,multiple_choice,boolean
HB_EXP9_0274,fixed_pro_soc_aug_001,procedural,social,no,C,boolean,multiple_choice
HB_EXP9_0275,fixed_soc_pro_027_05,social,procedural,C,no,multiple_choice,boolean
HB_EXP9_0276,fixed_soc_pro_027_00,social,procedural,C,no,multiple_choice,boolean
HB_EXP9_0277,fixed_spa_pro_013_03,spatial,procedural,14,no,exact_numeric,boolean
HB_EXP9_0278,fixed_pro_spa_aug_001,procedural,spatial,no,500,boolean,exact_numeric
HB_EXP9_0279,fixed_spa_pro_013_08,spatial,procedural,14,no,exact_numeric,boolean
HB_EXP9_0280,fixed_spa_pro_013_05,spatial,procedural,1500,no,exact_numeric,boolean
HB_EXP9_0281,fixed_pro_spa_aug_000,procedural,spatial,no,14,boolean,exact_numeric
HB_EXP9_0282,fixed_spa_pro_013_04,spatial,procedural,5.96,no,exact_numeric,boolean
HB_EXP9_0283,fixed_spa_pro_013_07,spatial,procedural,155,no,exact_numeric,boolean
HB_EXP9_0284,fixed_spa_pro_013_06,spatial,procedural,500,no,exact_numeric,boolean
HB_EXP9_0285,fixed_spa_pro_013_01,spatial,procedural,500,no,exact_numeric,boolean
HB_EXP9_0286,fixed_spa_pro_013_00,spatial,procedural,1500,no,exact_numeric,boolean
HB_EXP9_0287,fixed_spa_pro_013_02,spatial,procedural,155,no,exact_numeric,boolean
HB_EXP9_0288,fixed_pro_spa_aug_002,procedural,spatial,no,1500,boolean,exact_numeric
HB_EXP9_0289,fixed_tem_pro_018_04,temporal,procedural,10:50 AM,"steps 1, 2, and 3",short_text,short_text
HB_EXP9_0290,fixed_pro_tem_031_07,procedural,temporal,no,yes,boolean,boolean
HB_EXP9_0291,fixed_pro_tem_031_06,procedural,temporal,step 2 or mixing,4:35 PM,short_text,short_text
HB_EXP9_0292,fixed_pro_tem_031_02,procedural,temporal,no,yes,boolean,boolean
HB_EXP9_0293,fixed_pro_tem_031_01,procedural,temporal,step 2 or mixing,4:35 PM,short_text,short_text
HB_EXP9_0294,fixed_tem_pro_018_02,temporal,procedural,yes,no,boolean,boolean
HB_EXP9_0295,fixed_tem_pro_018_06,temporal,procedural,4:35 PM,step 2 or mixing,short_text,short_text
HB_EXP9_0296,fixed_tem_pro_018_01,temporal,procedural,4:35 PM,step 2 or mixing,short_text,short_text
HB_EXP9_0297,fixed_pro_tem_031_04,procedural,temporal,"steps 1, 2, and 3",10:50 AM,short_text,short_text
HB_EXP9_0298,fixed_tem_pro_018_07,temporal,procedural,yes,no,boolean,boolean
HB_EXP9_0299,fixed_tem_pro_018_05,temporal,procedural,1:00 PM,no,short_text,boolean
HB_EXP9_0300,fixed_tem_pro_018_00,temporal,procedural,1:00 PM,no,short_text,boolean
HB_EXP9_0301,fixed_spa_soc_011_03,spatial,social,65,row seating inhibits peer interaction and collaboration,exact_numeric,short_text
HB_EXP9_0302,fixed_spa_soc_011_08,spatial,social,65,row seating inhibits peer interaction and collaboration,exact_numeric,short_text
HB_EXP9_0303,fixed_spa_soc_011_01,spatial,social,40,no,exact_numeric,boolean
HB_EXP9_0304,fixed_soc_spa_aug_000,social,spatial,maximize product exposure and encourage impulse purchases,300,short_text,exact_numeric
HB_EXP9_0305,fixed_soc_spa_aug_002,social,spatial,no,40,boolean,exact_numeric
HB_EXP9_0306,fixed_spa_soc_011_00,spatial,social,50,B,exact_numeric,multiple_choice
HB_EXP9_0307,fixed_spa_soc_011_06,spatial,social,40,no,exact_numeric,boolean
HB_EXP9_0308,fixed_spa_soc_011_05,spatial,social,50,B,exact_numeric,multiple_choice
HB_EXP9_0309,fixed_spa_soc_011_07,spatial,social,300,maximize product exposure and encourage impulse purchases,exact_numeric,short_text
HB_EXP9_0310,fixed_spa_soc_011_04,spatial,social,314,no,exact_numeric,boolean
HB_EXP9_0311,fixed_soc_spa_aug_001,social,spatial,no,40,boolean,exact_numeric
HB_EXP9_0312,fixed_spa_soc_011_02,spatial,social,300,maximize product exposure and encourage impulse purchases,exact_numeric,short_text
HB_EXP9_0313,fixed_tem_soc_016_05,temporal,social,7,B,exact_numeric,multiple_choice
HB_EXP9_0314,fixed_soc_tem_aug_000,social,temporal,C,10 hours,multiple_choice,short_text
HB_EXP9_0315,fixed_tem_soc_016_00,temporal,social,7,B,exact_numeric,multiple_choice
HB_EXP9_0316,fixed_tem_soc_016_04,temporal,social,10 hours,B,short_text,multiple_choice
HB_EXP9_0317,fixed_soc_tem_aug_001,social,temporal,C,53.5,multiple_choice,exact_numeric
HB_EXP9_0318,fixed_tem_soc_016_06,temporal,social,53.5,C,exact_numeric,multiple_choice
HB_EXP9_0319,fixed_soc_tem_aug_002,social,temporal,C,8.5,multiple_choice,exact_numeric
HB_EXP9_0320,fixed_tem_soc_016_03,temporal,social,8.5,C,exact_numeric,multiple_choice
HB_EXP9_0321,fixed_tem_soc_016_08,temporal,social,8.5,C,exact_numeric,multiple_choice
HB_EXP9_0322,fixed_tem_soc_016_01,temporal,social,53.5,C,exact_numeric,multiple_choice
HB_EXP9_0323,fixed_tem_soc_016_07,temporal,social,4.5,punctuality or respect for others' time,exact_numeric,short_text
HB_EXP9_0324,fixed_tem_soc_016_02,temporal,social,4.5,punctuality or respect for others' time,exact_numeric,short_text
HB_EXP9_0325,fixed_spa_tem_aug_000,spatial,temporal,6495,1:15 PM,exact_numeric,short_text
HB_EXP9_0326,fixed_spa_tem_008_06,spatial,temporal,10,1:15 PM,exact_numeric,short_text
HB_EXP9_0327,fixed_spa_tem_008_01,spatial,temporal,10,1:15 PM,exact_numeric,short_text
HB_EXP9_0328,fixed_spa_tem_aug_003,spatial,temporal,6495,April 21,exact_numeric,short_text
HB_EXP9_0329,fixed_spa_tem_008_07,spatial,temporal,6495,6,exact_numeric,exact_numeric
HB_EXP9_0330,fixed_spa_tem_008_02,spatial,temporal,6495,6,exact_numeric,exact_numeric
HB_EXP9_0331,fixed_spa_tem_008_03,spatial,temporal,750,1:15 PM,exact_numeric,short_text
HB_EXP9_0332,fixed_spa_tem_aug_001,spatial,temporal,10,1:15 PM,exact_numeric,short_text
HB_EXP9_0333,fixed_spa_tem_008_05,spatial,temporal,750,April 21,exact_numeric,short_text
HB_EXP9_0334,fixed_spa_tem_008_00,spatial,temporal,750,April 21,exact_numeric,short_text
HB_EXP9_0335,fixed_spa_tem_008_04,spatial,temporal,36,15 weeks,exact_numeric,short_text
HB_EXP9_0336,fixed_spa_tem_008_08,spatial,temporal,750,1:15 PM,exact_numeric,short_text
